,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_adj_cli,2020-11-06,,2020-11-09,3,4.248434,,,state,doctor-visits
1,al,smoothed_adj_cli,2020-11-06,,2020-11-09,3,5.17415,,,state,doctor-visits
2,ar,smoothed_adj_cli,2020-11-06,,2020-11-09,3,7.087547,,,state,doctor-visits
3,az,smoothed_adj_cli,2020-11-06,,2020-11-09,3,11.631251,,,state,doctor-visits
4,ca,smoothed_adj_cli,2020-11-06,,2020-11-09,3,7.880522,,,state,doctor-visits
5,co,smoothed_adj_cli,2020-11-06,,2020-11-09,3,8.050488,,,state,doctor-visits
6,ct,smoothed_adj_cli,2020-11-06,,2020-11-09,3,8.743154,,,state,doctor-visits
7,dc,smoothed_adj_cli,2020-11-06,,2020-11-09,3,6.780294,,,state,doctor-visits
8,de,smoothed_adj_cli,2020-11-06,,2020-11-09,3,12.87501,,,state,doctor-visits
9,fl,smoothed_adj_cli,2020-11-06,,2020-11-09,3,9.49533,,,state,doctor-visits
10,ga,smoothed_adj_cli,2020-11-06,,2020-11-09,3,6.124781,,,state,doctor-visits
11,hi,smoothed_adj_cli,2020-11-06,,2020-11-09,3,3.729127,,,state,doctor-visits
12,ia,smoothed_adj_cli,2020-11-06,,2020-11-09,3,5.156477,,,state,doctor-visits
13,id,smoothed_adj_cli,2020-11-06,,2020-11-09,3,5.162968,,,state,doctor-visits
14,il,smoothed_adj_cli,2020-11-06,,2020-11-09,3,12.554457,,,state,doctor-visits
15,in,smoothed_adj_cli,2020-11-06,,2020-11-09,3,12.74483,,,state,doctor-visits
16,ks,smoothed_adj_cli,2020-11-06,,2020-11-09,3,8.421389,,,state,doctor-visits
17,ky,smoothed_adj_cli,2020-11-06,,2020-11-09,3,8.308203,,,state,doctor-visits
18,la,smoothed_adj_cli,2020-11-06,,2020-11-09,3,4.408788,,,state,doctor-visits
19,ma,smoothed_adj_cli,2020-11-06,,2020-11-09,3,9.464757,,,state,doctor-visits
20,md,smoothed_adj_cli,2020-11-06,,2020-11-09,3,10.033906,,,state,doctor-visits
21,me,smoothed_adj_cli,2020-11-06,,2020-11-09,3,5.789973,,,state,doctor-visits
22,mi,smoothed_adj_cli,2020-11-06,,2020-11-09,3,11.140935,,,state,doctor-visits
23,mn,smoothed_adj_cli,2020-11-06,,2020-11-09,3,9.842143,,,state,doctor-visits
24,mo,smoothed_adj_cli,2020-11-06,,2020-11-09,3,10.873004,,,state,doctor-visits
25,ms,smoothed_adj_cli,2020-11-06,,2020-11-09,3,7.107106,,,state,doctor-visits
26,mt,smoothed_adj_cli,2020-11-06,,2020-11-09,3,2.653004,,,state,doctor-visits
27,nc,smoothed_adj_cli,2020-11-06,,2020-11-09,3,6.87385,,,state,doctor-visits
28,nd,smoothed_adj_cli,2020-11-06,,2020-11-09,3,7.007181,,,state,doctor-visits
29,ne,smoothed_adj_cli,2020-11-06,,2020-11-09,3,8.719075,,,state,doctor-visits
30,nh,smoothed_adj_cli,2020-11-06,,2020-11-09,3,7.373077,,,state,doctor-visits
31,nj,smoothed_adj_cli,2020-11-06,,2020-11-09,3,9.667838,,,state,doctor-visits
32,nm,smoothed_adj_cli,2020-11-06,,2020-11-09,3,4.795908,,,state,doctor-visits
33,nv,smoothed_adj_cli,2020-11-06,,2020-11-09,3,12.166755,,,state,doctor-visits
34,ny,smoothed_adj_cli,2020-11-06,,2020-11-09,3,9.459943,,,state,doctor-visits
35,oh,smoothed_adj_cli,2020-11-06,,2020-11-09,3,9.690851,,,state,doctor-visits
36,ok,smoothed_adj_cli,2020-11-06,,2020-11-09,3,5.962825,,,state,doctor-visits
37,or,smoothed_adj_cli,2020-11-06,,2020-11-09,3,3.719012,,,state,doctor-visits
38,pa,smoothed_adj_cli,2020-11-06,,2020-11-09,3,7.178861,,,state,doctor-visits
39,ri,smoothed_adj_cli,2020-11-06,,2020-11-09,3,7.669019,,,state,doctor-visits
40,sc,smoothed_adj_cli,2020-11-06,,2020-11-09,3,5.942169,,,state,doctor-visits
41,sd,smoothed_adj_cli,2020-11-06,,2020-11-09,3,6.347545,,,state,doctor-visits
42,tn,smoothed_adj_cli,2020-11-06,,2020-11-09,3,8.088897,,,state,doctor-visits
43,tx,smoothed_adj_cli,2020-11-06,,2020-11-09,3,9.484613,,,state,doctor-visits
44,ut,smoothed_adj_cli,2020-11-06,,2020-11-09,3,5.199269,,,state,doctor-visits
45,va,smoothed_adj_cli,2020-11-06,,2020-11-09,3,7.988918,,,state,doctor-visits
46,vt,smoothed_adj_cli,2020-11-06,,2020-11-09,3,5.678139,,,state,doctor-visits
47,wa,smoothed_adj_cli,2020-11-06,,2020-11-09,3,3.071055,,,state,doctor-visits
48,wi,smoothed_adj_cli,2020-11-06,,2020-11-09,3,6.922659,,,state,doctor-visits
49,wv,smoothed_adj_cli,2020-11-06,,2020-11-09,3,5.6392,,,state,doctor-visits
50,wy,smoothed_adj_cli,2020-11-06,,2020-11-09,3,8.010535,,,state,doctor-visits
