,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,full_time_work_prop,2020-11-06,,2020-11-10,4,0.048870622542787,0.0016061685188504,511,state,safegraph
1,al,full_time_work_prop,2020-11-06,,2020-11-10,4,0.085605498350345,0.00067241246349023,3434,state,safegraph
2,ar,full_time_work_prop,2020-11-06,,2020-11-10,4,0.069426225614877,0.00075592245714104,2142,state,safegraph
3,az,full_time_work_prop,2020-11-06,,2020-11-10,4,0.046238717860573,0.00045851494897582,4147,state,safegraph
4,ca,full_time_work_prop,2020-11-06,,2020-11-10,4,0.046634814336734,0.00020073958781593,23109,state,safegraph
5,co,full_time_work_prop,2020-11-06,,2020-11-10,4,0.049753814040412,0.00052327258188905,3519,state,safegraph
6,ct,full_time_work_prop,2020-11-06,,2020-11-10,4,0.056504929516374,0.00073265073138903,2577,state,safegraph
7,dc,full_time_work_prop,2020-11-06,,2020-11-10,4,0.047776139548605,0.0015401691033884,448,state,safegraph
8,de,full_time_work_prop,2020-11-06,,2020-11-10,4,0.0479102420314,0.0011802316712241,569,state,safegraph
9,fl,full_time_work_prop,2020-11-06,,2020-11-10,4,0.062044821633565,0.00035769449230392,11370,state,safegraph
10,ga,full_time_work_prop,2020-11-06,,2020-11-10,4,0.065924560754411,0.00052475939418247,5520,state,safegraph
11,hi,full_time_work_prop,2020-11-06,,2020-11-10,4,0.040704664102531,0.0013609891522148,838,state,safegraph
12,ia,full_time_work_prop,2020-11-06,,2020-11-10,4,0.085254658992217,0.00098066785102203,2626,state,safegraph
13,id,full_time_work_prop,2020-11-06,,2020-11-10,4,0.056872899411772,0.0012741600759139,960,state,safegraph
14,il,full_time_work_prop,2020-11-06,,2020-11-10,4,0.067304121271888,0.00044552923357906,9677,state,safegraph
15,in,full_time_work_prop,2020-11-06,,2020-11-10,4,0.065732012567346,0.00058832495684553,4806,state,safegraph
16,ks,full_time_work_prop,2020-11-06,,2020-11-10,4,0.075792000625829,0.000950448678744,2345,state,safegraph
17,ky,full_time_work_prop,2020-11-06,,2020-11-10,4,0.059066198555949,0.00062351001315735,3277,state,safegraph
18,la,full_time_work_prop,2020-11-06,,2020-11-10,4,0.077713603838296,0.00072611621672685,3438,state,safegraph
19,ma,full_time_work_prop,2020-11-06,,2020-11-10,4,0.05587401948791,0.0005587965567978,4954,state,safegraph
20,md,full_time_work_prop,2020-11-06,,2020-11-10,4,0.048110114014335,0.00050961419341492,3904,state,safegraph
21,me,full_time_work_prop,2020-11-06,,2020-11-10,4,0.059558660716984,0.0012555032380683,1073,state,safegraph
22,mi,full_time_work_prop,2020-11-06,,2020-11-10,4,0.055849331760956,0.00043510621102169,8082,state,safegraph
23,mn,full_time_work_prop,2020-11-06,,2020-11-10,4,0.059406480120271,0.00065268907237396,4102,state,safegraph
24,mo,full_time_work_prop,2020-11-06,,2020-11-10,4,0.076716346303495,0.00067334462977516,4502,state,safegraph
25,ms,full_time_work_prop,2020-11-06,,2020-11-10,4,0.07399793952734,0.00085536836692104,2155,state,safegraph
26,mt,full_time_work_prop,2020-11-06,,2020-11-10,4,0.057800540072415,0.0014722582484618,838,state,safegraph
27,nc,full_time_work_prop,2020-11-06,,2020-11-10,4,0.050497828609173,0.00039828856934114,6123,state,safegraph
28,nd,full_time_work_prop,2020-11-06,,2020-11-10,4,0.063067675217601,0.0017306518182083,572,state,safegraph
29,ne,full_time_work_prop,2020-11-06,,2020-11-10,4,0.080418875980434,0.0012033068078665,1630,state,safegraph
30,nh,full_time_work_prop,2020-11-06,,2020-11-10,4,0.057896658203714,0.0012311674676597,921,state,safegraph
31,nj,full_time_work_prop,2020-11-06,,2020-11-10,4,0.045673178674739,0.00040492853714229,6286,state,safegraph
32,nm,full_time_work_prop,2020-11-06,,2020-11-10,4,0.045852053696664,0.00082466389132406,1440,state,safegraph
33,nv,full_time_work_prop,2020-11-06,,2020-11-10,4,0.041919600198825,0.00073288359513197,1821,state,safegraph
34,ny,full_time_work_prop,2020-11-06,,2020-11-10,4,0.055948212911853,0.00030571707715337,15190,state,safegraph
35,oh,full_time_work_prop,2020-11-06,,2020-11-10,4,0.05997263056885,0.00039786082821739,9215,state,safegraph
36,ok,full_time_work_prop,2020-11-06,,2020-11-10,4,0.067962125488384,0.00070126749652641,2960,state,safegraph
