STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,HPSAUnderservedPop,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
AL,1,4903185,94.4,1997864,37.7263249787075,12.7391470233155,222.716762390006,50.6539735602679,18.8049756284842,72.9133137228867,12954,86,1533,0.615536867257749,739993,803771,0.072493280796054,0.0714886093427028,0.129830754499371,0.217791647266012,0.508270539863375,14.7,47.97,19.384323148,13587522.2903226,0.085605498350345
AK,2,731545,1.2,237208,34.0153995318928,8.02267961351464,144.813428367605,36.3305811700568,17.3816445321892,52.2648197814596,2100,22,119,0.458679653475953,182819,82580,0.0526115344920682,0.0587843919376115,0.0768820551025569,0.241688604255377,0.569876663773247,11.8,42.37,29.076198336,1789157.77419355,0.048870622542787
AZ,4,7278717,56.3,2351799,36.0667584680002,8.59230366362199,135.602342739728,29.3125510238514,14.6062478573646,51.4573606170745,20222,76,1559,0.720497286187857,0,1201746,0.027381785828464,0.0329476525876744,0.067637868596897,0.151409404569514,0.719946890090657,12.1,46.81,27.078077626,17243863.4193548,0.046238717860573
AR,5,3017804,56,1181105,37.3648120909476,11.9960289001518,220.035803571873,45.1341969092432,19.5123356709714,68.9925138519987,7753,74,732,0.651844590810681,161897,499144,0.0728125819304368,0.0712164580602319,0.126589965087196,0.22060283504164,0.50888148766454,15,47.65,19.574682585,8474432,0.069426225614877
CA,6,39512223,239.1,12240142,35.1788972710171,8.12087688552065,145.18927448701,35.7921044127538,11.07234302078,42.3069804374922,137635,329,7338,0.653996784309849,22114,5505358,0.0227036334300907,0.0184163022667694,0.0511097400163995,0.141404191963586,0.766369261709218,11.4,48.91,27.965573393,90964973.8064516,0.046634814336734
CO,8,5758736,48.5,1701776,36.1605969136683,6.04754810937073,127.894459495144,34.104549101722,13.7596663594533,56.8833817862463,19021,80,1095,0.329241745646261,236454,772042,0.0269650680288174,0.0428931913183726,0.0751657851653557,0.209190104738262,0.646013848177794,9.1,45.78,26.432666183,18805009.0645161,0.049753814040412
CT,9,3565287,738.1,1239597,39.970949893147,7.70134347888761,146.311714840322,26.724079335734,11.5690429251358,43.686786334571,16693,30,674,0.425776416904468,0,602410,0.0203246655879316,0.0202779347076406,0.0571437870219144,0.122301323287578,0.779976094771613,9.7,49.6,25.005916113,10383287.3870968,0.056504929516374
DE,10,973764,460.8,357530,39.0331972319269,9.82985015059385,164.979344707399,40.9535512334427,15.7341815333802,51.915783103505,2950,6,186,0.446959303887317,118339,174128,0.0215225578271532,0.00881397340628736,0.0516244839612062,0.110560063834769,0.807478920970584,7.6,45.46,24.290807433,2787091.80645161,0.0479102420314
DC,11,705749,9856.5,213357,33.8,8.8,202.1,36.5,15.965592149,30.21,6524,6,314,0.5965,0,83734,0.012,0.013,0.069,0.164,0.743,13.7,52.83,35.313799231,2119630.22580645,0.047776139548605
FL,12,21477737,350.6,7696749,40.9950573034591,8.93507366078502,152.190749495583,37.2772414524873,16.9529541463825,48.4368476555008,70226,178,5604,0.606516672518965,1538260,4214635,0.0385627293974221,0.0375646700581165,0.0750900143716258,0.163153674663211,0.685498327081666,12.9,48.68,23.112035013,58530410.0322581,0.062044821633565
GA,13,10617423,168.4,3541358,35.4310764938364,11.1050026926249,176.818083307389,43.824317858068,16.4715974427931,60.5052385437486,28843,129,2508,0.569975237024661,1524138,1407810,0.0643361759251751,0.062649235035658,0.113293478464595,0.195172708763699,0.564620515543178,13.3,48.21,22.212912471,30622375.2258065,0.065924560754411
HI,15,1415872,211.8,486156,38.6293085982241,9.18528642560917,133.58976544026,35.5158022824502,11.7169516040762,27.8052479670762,5554,21,201,0.468729817295569,219821,253560,0.013016527623966,0.0157790499423677,0.0291571815813859,0.141243697876644,0.800115290788998,9.4,44.12,27.667032715,3348986.41935484,0.040704664102531
ID,16,1787065,19,534533,34.9852801378172,8.0217707364235,157.040768654572,36.3354975008665,13.5518309168611,58.1613156307576,3654,42,314,0.387583340915102,236473,264901,0.111857171395556,0.12550368956921,0.133503800365404,0.217222054597902,0.411875486901707,10,44.99,24.066979,4611983.70967742,0.056872899411772
IL,17,12671821,231.1,4404556,36.6653919683418,9.05353267540899,167.848293794561,38.0367879645996,14.4186827105148,49.1636554617034,46328,176,3144,0.485673988539433,633721,1945398,0.0318759649461589,0.0327070044628945,0.0795184062338002,0.177858542430484,0.677916759004093,10.4,48.16,25.05860039,41745991.8064516,0.067304121271888
IN,18,6732219,181,2428188,36.8526702070779,10.6969235541951,180.571534238969,39.8499235640578,19.3641443389727,69.2403175790114,17776,118,1861,0.471401537221689,400643,1024890,0.0694696282161944,0.0807231192271077,0.11695987935033,0.232288251020949,0.500516881580947,11.1,45.01,22.549076319,21722211.3548387,0.065732012567346
IA,19,3155070,54.5,1067133,38.0567444778361,8.44088161348734,157.326886375626,32.3251710551955,15.8968305230154,58.3817753715371,7403,116,545,0.290089134592992,196130,526057,0.0752294415020903,0.0991926600677639,0.148233656305565,0.227975959328953,0.449408058775241,8.6,44.21,22.942046644,10130025.0322581,0.085254658992217
KS,20,2913314,34.9,983323,36.2673941483872,9.09714250877124,155.142021188355,38.2045343215966,15.8367043719265,62.6046611151278,8477,132,767,0.383945941669343,390313,449563,0.0662087842230532,0.0712236120102399,0.112954040312853,0.223430993363572,0.526334002788577,10.4,45.84,24.545187277,8974636,0.075792000625829
KY,21,4467673,109.9,1789444,37.9297259288667,11.2547406432993,197.112680797296,40.6281889140682,20.9645981824023,77.1084336458537,12480,91,1392,0.556580583886589,452565,711349,0.0691031637722814,0.0713303216238073,0.114189021219772,0.213283324898667,0.53186935324049,14.2,47.75,23.326482986,14402475.1612903,0.059066198555949
LA,22,4648794,104.9,1806330,35.8406092904301,11.7876378815522,213.561536642448,46.0034069474148,20.563937778692,58.6958083020993,15610,111,1289,0.718300794445811,549674,697383,0.066815107316005,0.0651579119229632,0.106704327617012,0.206483306423128,0.554738401400449,19.1,49.27,21.635146443,14466353.2580645,0.077713603838296
ME,23,1344212,43.1,530809,42.7114508025977,8.27187089996742,151.155798697553,33.4515451238938,15.0983221898403,61.2753992964755,4945,33,256,0.293404676166539,0,266214,0.0527985079734447,0.0578873012590276,0.0817600482661961,0.196806572177603,0.610890121498692,11.5,45.27,24.370393587,3958935.16129032,0.059558660716984
MD,24,6045680,594.8,2054758,37.9288192002341,9.70729438309052,166.299548679915,38.1173198219741,13.0082336858049,40.6729750734686,30460,47,1134,0.388419635286638,76093,904671,0.0307455308583981,0.0259876004022707,0.0555497335287346,0.140668937323841,0.746742190291249,7.5,45.2,24.856823936,17123994.3225806,0.048110114014335
MA,25,6892503,839.4,2302809,39.0150091370094,7.97281329336704,136.408456033041,27.8030480361986,12.7725186066352,43.8973312789973,39963,58,1326,0.401296987286134,23402,1108609,0.0199206372489065,0.0139721488695761,0.0436930196475794,0.130601311453909,0.791745427169201,9.2,48.41,27.634000704,23197020.7419355,0.05587401948791
MI,26,9986857,174.8,3749235,38.6721777546128,9.33843458052615,199.364875501642,38.1048085442903,17.2112649611361,55.6140581677615,32885,130,2423,0.455199542883268,512149,1667196,0.0407376794320776,0.0475533221312771,0.0826474589553049,0.194609635744259,0.63426759009366,10.7,46.64,23.854836314,30326891.8387097,0.055849331760956
MN,27,5639632,66.6,1625778,37.3632018511618,7.33769813794926,112.29796228208,32.8702969197739,13.8062588910828,47.2847232230517,21311,127,1171,0.277891109836275,156640,860209,0.0615090926145536,0.0855945666312979,0.125566840176806,0.252709887099016,0.474490721203086,7.4,45.15,24.157188655,16285876.0967742,0.059406480120271
