STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,HPSAUnderservedPop,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
AL,1,4903185,94.4,40746.249631617,37.7263249787075,12.7391470233155,222.716762390006,50.6539735602679,18.8049756284842,72.9133137228867,264.195619785915,1.75396196553873,31.2653917810566,0.615536867257749,15092.0881019174,16392.8344535236,0.072493280796054,0.0714886093427028,0.129830754499371,0.217791647266012,0.508270539863375,14.7,47.97,19.384323148,277116.247710878,0.085605498350345
AK,2,731545,1.2,32425.6197499812,34.0153995318928,8.02267961351464,144.813428367605,36.3305811700568,17.3816445321892,52.2648197814596,287.063680293078,3.00733379354654,16.2669418832744,0.458679653475953,24990.8071273811,11288.4374850488,0.0526115344920682,0.0587843919376115,0.0768820551025569,0.241688604255377,0.569876663773247,11.8,42.37,29.076198336,244572.483469035,0.048870622542787
AZ,4,7278717,56.3,32310.62562262,36.0667584680002,8.59230366362199,135.602342739728,29.3125510238514,14.6062478573646,51.4573606170745,277.823687883455,1.04414005929891,21.4186099006185,0.720497286187857,0,16510.4097329241,0.027381785828464,0.0329476525876744,0.067637868596897,0.151409404569514,0.719946890090657,12.1,46.81,27.078077626,236908.007542467,0.046238717860573
AR,5,3017804,56,39137.8962981029,37.3648120909476,11.9960289001518,220.035803571873,45.1341969092432,19.5123356709714,68.9925138519987,256.908666036628,2.45211418634212,24.2560484378707,0.651844590810681,5364.72878954365,16539.9741003723,0.0728125819304368,0.0712164580602319,0.126589965087196,0.22060283504164,0.50888148766454,15,47.65,19.574682585,280814.526059346,0.069426225614877
CA,6,39512223,239.1,30978.1153037125,35.1788972710171,8.12087688552065,145.18927448701,35.7921044127538,11.07234302078,42.3069804374922,348.335248057291,0.832653733504187,18.5714683782788,0.653996784309849,55.9674913760231,13933.3036260703,0.0227036334300907,0.0184163022667694,0.0511097400163995,0.141404191963586,0.766369261709218,11.4,48.91,27.965573393,230219.833003199,0.046634814336734
CO,8,5758736,48.5,29551.2070704405,36.1605969136683,6.04754810937073,127.894459495144,34.104549101722,13.7596663594533,56.8833817862463,330.298176544297,1.38919373973733,19.0145893126547,0.329241745646261,4106.00520669814,13406.4489151786,0.0269650680288174,0.0428931913183726,0.0751657851653557,0.209190104738262,0.646013848177794,9.1,45.78,26.432666183,326547.510851619,0.049753814040412
CT,9,3565287,738.1,34768.5053124755,39.970949893147,7.70134347888761,146.311714840322,26.724079335734,11.5690429251358,43.686786334571,468.209151184743,0.841446985894824,18.9045089497704,0.425776416904468,0,16896.5359590967,0.0203246655879316,0.0202779347076406,0.0571437870219144,0.122301323287578,0.779976094771613,9.7,49.6,25.005916113,291232.862518412,0.056504929516374
DE,10,973764,460.8,36716.2885463007,39.0331972319269,9.82985015059385,164.979344707399,40.9535512334427,15.7341815333802,51.915783103505,302.948147600445,0.616165723933109,19.1011374419264,0.446959303887317,12152.73926742,17881.9508628374,0.0215225578271532,0.00881397340628736,0.0516244839612062,0.110560063834769,0.807478920970584,7.6,45.46,24.290807433,286218.406765049,0.0479102420314
DC,11,705749,9856.5,30231.2861938168,33.8,8.8,202.1,36.5,15.965592149,30.21,924.407969405554,0.85016060950848,44.4917385642771,0.5965,0,11864.5580794305,0.012,0.013,0.069,0.164,0.743,13.7,52.83,35.313799231,300337.687450701,0.047776139548605
FL,12,21477737,350.6,35835.9402575793,40.9950573034591,8.93507366078502,152.190749495583,37.2772414524873,16.9529541463825,48.4368476555008,326.97113294571,0.828765153423752,26.0921343808242,0.606516672518965,7162.11396014394,19623.2731595512,0.0385627293974221,0.0375646700581165,0.0750900143716258,0.163153674663211,0.685498327081666,12.9,48.68,23.112035013,272516.653091795,0.062044821633565
GA,13,10617423,168.4,33354.2141063797,35.4310764938364,11.1050026926249,176.818083307389,43.824317858068,16.4715974427931,60.5052385437486,271.657256191074,1.21498408794676,23.6215511051976,0.569975237024661,14355.0652545349,13259.432161646,0.0643361759251751,0.062649235035658,0.113293478464595,0.195172708763699,0.564620515543178,13.3,48.21,22.212912471,288416.268484419,0.065924560754411
